<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,5,20170320,165000,163.6000000,163.7500000,163.5600000,163.7300000,256890
SBER,5,20170320,165500,163.7300000,163.8100000,163.4200000,163.6000000,249900
SBER,5,20170320,170000,163.5800000,163.6000000,163.2200000,163.3300000,229400
SBER,5,20170320,170500,163.4100000,163.6700000,163.3200000,163.3900000,194650
SBER,5,20170320,171000,163.4500000,163.6700000,163.3500000,163.5600000,240340
SBER,5,20170320,171500,163.5400000,163.7000000,163.4600000,163.5200000,466190
SBER,5,20170320,172000,163.5200000,163.6400000,163.3600000,163.4700000,292700
SBER,5,20170320,172500,163.5000000,163.5300000,163.3700000,163.3800000,109790
SBER,5,20170320,173000,163.3800000,163.5800000,163.3800000,163.4000000,85840
SBER,5,20170320,173500,163.4000000,163.4500000,162.8500000,162.9500000,437510
SBER,5,20170320,174000,162.9700000,163.2500000,162.9500000,163.2100000,459140
SBER,5,20170320,174500,163.2000000,163.6100000,163.1800000,163.4300000,209510
SBER,5,20170320,175000,163.4600000,163.5900000,163.3000000,163.3100000,136080
SBER,5,20170320,175500,163.4200000,163.7100000,163.3900000,163.3900000,407560
SBER,5,20170320,180000,163.3700000,163.4300000,163.2000000,163.2800000,112580
SBER,5,20170320,180500,163.2900000,163.4300000,163.2100000,163.2700000,150030
SBER,5,20170320,181000,163.2600000,163.3500000,163.1600000,163.2300000,61420
SBER,5,20170320,181500,163.2400000,163.3000000,163.1000000,163.1700000,206890
SBER,5,20170320,182000,163.1100000,163.2900000,163.0700000,163.2300000,109220
SBER,5,20170320,182500,163.2600000,163.3300000,163.0900000,163.3100000,171610
SBER,5,20170320,183000,163.3200000,163.5700000,163.2600000,163.5700000,351850
SBER,5,20170320,183500,163.5700000,163.7700000,163.4400000,163.6100000,263410
SBER,5,20170320,184000,163.5800000,164.0000000,163.5200000,163.7500000,1718380
SBER,5,20170320,185000,163.8000000,163.8000000,163.8000000,163.8000000,438190
SBER,5,20170321,100500,164.5000000,164.8000000,164.1000000,164.8000000,920550
SBER,5,20170321,101000,164.8000000,165.1500000,164.8000000,164.9600000,849100
SBER,5,20170321,101500,164.9000000,165.0700000,164.8100000,164.9700000,300840
SBER,5,20170321,102000,164.9300000,165.0000000,164.5200000,164.5600000,622170
SBER,5,20170321,102500,164.6300000,164.7900000,164.5600000,164.7000000,69340
SBER,5,20170321,103000,164.7400000,164.7500000,164.5300000,164.6100000,106300
SBER,5,20170321,103500,164.6200000,165.0000000,164.5700000,164.9000000,411920
SBER,5,20170321,104000,164.9300000,165.0000000,164.7700000,164.8600000,237250
SBER,5,20170321,104500,164.8600000,164.9600000,164.5700000,164.5800000,280610
SBER,5,20170321,105000,164.6100000,164.9600000,164.5500000,164.8600000,313910
SBER,5,20170321,105500,164.8700000,164.9400000,164.7100000,164.8000000,150840
SBER,5,20170321,110000,164.7400000,164.9000000,164.6000000,164.7100000,135260
SBER,5,20170321,110500,164.7000000,164.8700000,164.2100000,164.7500000,744480
SBER,5,20170321,111000,164.7300000,165.3000000,164.7300000,164.9100000,1414070
SBER,5,20170321,111500,164.9000000,164.9000000,164.3800000,164.5000000,1089510
SBER,5,20170321,112000,164.4800000,164.7000000,164.2500000,164.2600000,343670
SBER,5,20170321,112500,164.2600000,164.7600000,164.2500000,164.6900000,403920
SBER,5,20170321,113000,164.7300000,164.8700000,164.4600000,164.7300000,243070
SBER,5,20170321,113500,164.7800000,164.8900000,164.6200000,164.8400000,355470
SBER,5,20170321,114000,164.8400000,165.0800000,164.7400000,165.0800000,366750
SBER,5,20170321,114500,165.0800000,165.1400000,164.9700000,165.0000000,196620
SBER,5,20170321,115000,165.0000000,165.4900000,164.9400000,165.4100000,998930
SBER,5,20170321,115500,165.4100000,165.4600000,165.1700000,165.3200000,343640
